date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:47	364429/364429	---M--	200	added ('OK')	image/jpeg	etag:%22f3da25dd1dd7ff4d98a747d63ba01b7e%22	https://cdn.goturkiye.com/goturkiye/tortum-waterfall-uzundere-erzurum--icerik.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/tortum-waterfall-uzundere-erzurum--icerik.jpg	(from https://goturkiye.com/uzundere)
02:35:47	154782/154782	---M--	200	added ('OK')	image/jpeg	etag:%22799c9643c14ce98cdad37e57ec61fa65%22	https://cdn.goturkiye.com/goturkiye/1920x1080-74.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/1920x1080-74.jpg	(from https://goturkiye.com/seferihisar)
02:35:48	379952/379952	---M--	200	added ('OK')	image/jpeg	etag:%22a1bcd15cadd142b505c9da2d682681c0%22	https://cdn.goturkiye.com/goturkiye/izmir-seferihisar-sigacik-gulcan-acar-46--icerik.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/izmir-seferihisar-sigacik-gulcan-acar-46--icerik.jpg	(from https://goturkiye.com/seferihisar)
02:35:50	291590/291590	---M--	200	added ('OK')	image/jpeg	etag:%22dc6734c956e6046d1e7fbf26b9fdf877%22	https://cdn.goturkiye.com/goturkiye/izmirseferihisarekmeksiznaturepark4048x2272px300-dpi-icerik.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/izmirseferihisarekmeksiznaturepark4048x2272px300-dpi-icerik.jpg	(from https://goturkiye.com/seferihisar)
02:35:51	467559/467559	---M--	200	added ('OK')	image/jpeg	etag:%22f1b9bfd22ae990bc415d9c961854e093%22	https://cdn.goturkiye.com/goturkiye/1920x1080-75.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/1920x1080-75.jpg	(from https://goturkiye.com/savsat)
02:35:52	340363/340363	---M--	200	added ('OK')	image/jpeg	etag:%22e5cf6666e5c56c811db9c60ff89b1f6d%22	https://cdn.goturkiye.com/goturkiye/savsat-2-icerik.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/savsat-2-icerik.jpg	(from https://goturkiye.com/savsat)
02:35:53	256619/256619	---M--	200	added ('OK')	image/jpeg	etag:%226fd7898fd40ac9a7830b6e63346e702c%22	https://cdn.goturkiye.com/goturkiye/1920x1080-73.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/1920x1080-73.jpg	(from https://goturkiye.com/persembe)
02:35:54	184053/184053	---M--	200	added ('OK')	image/jpeg	etag:%2209df7b7dfbb00583a630f841f251dc5b%22	https://cdn.goturkiye.com/goturkiye/persembe-plateau-icerik.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/persembe-plateau-icerik.jpg	(from https://goturkiye.com/persembe)
02:35:55	181480/181480	---M--	200	added ('OK')	image/jpeg	etag:%223e234e7b40bcb89967e39d461903b36a%22	https://cdn.goturkiye.com/goturkiye/1920x1080-71.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/1920x1080-71.jpg	(from https://goturkiye.com/mudurnu)
02:35:56	340841/340841	---M--	200	added ('OK')	image/jpeg	etag:%228f5ecffeff49d96a1875141adc23eb9c%22	https://cdn.goturkiye.com/goturkiye/bolumudurnuhome4000x6000px300-dpi-icerik.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/bolumudurnuhome4000x6000px300-dpi-icerik.jpg	(from https://goturkiye.com/mudurnu)
